Author(s) ID	Year	Link
"56770753800;57211144231;57216038616;57202036412;57202038136;57216183463;55716193000;57211143455;57216038355;57216042131;57216041152;55844934700;57216036082;57216042703;57216041789;26030966000;56147682700;7201384775;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082511797&doi=10.1038%2fs41467-020-15562-9&partnerID=40&md5=7ed64e5c303510c7a615303017c29eaa
"15061544000;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086323581&doi=10.22516%2f25007440.537&partnerID=40&md5=eb321f7aa46a9da9bb9cad3072efd98d
"57217117618;57210313575;57210317570;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086328357&doi=10.22516%2f25007440.535&partnerID=40&md5=287650e052d8da975fa345a869e066a5
"57216675717;57216675696;57216677431;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084272669&doi=10.1080%2f22221751.2020.1760145&partnerID=40&md5=6522a06fe9c4a797f40d954356e23b75
"57193889680;57203436946;57210993060;57201670058;57216257222;55239452900;57217010886;57217006022;57211255972;57217011149;57217004692;50462822400;57217004226;16425441400;57217006203;6603034625;57216336980;57214288354;57217007968;57216355960;56061612500;7004240142;57215769524;57216213283;55533856400;14016391200;57216352827;26660148300;57216331904;57217007214;57188695814;57217008105;16553296400;57193213801;57217010986;57217006018;57217009296;57217008640;57217003779;24757839600;57217004611;57217005173;57217003876;57216343026;57217004338;53064200700;57217003845;57192926252;57217006321;15834276900;57208928267;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085688865&doi=10.1038%2fs41467-020-16670-2&partnerID=40&md5=1f17ba9b347eafb74933c55b06094f7f
"12761093900;55943708500;57217147470;6504372244;57217146563;57217143574;7103125321;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086448313&doi=10.1038%2fs41541-020-0204-7&partnerID=40&md5=a5819eb847986485be41b80e27cb8ffc
"38062239700;55749344800;57210596482;57211111186;57211111856;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086233687&doi=10.1007%2fs12041-020-01217-7&partnerID=40&md5=63d939dd104d905612fc1432e0e4db38
"6603630893;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084705806&doi=10.1186%2fs10397-020-01070-7&partnerID=40&md5=e36c193c27f6b3f632265177d1beadff
"6601973679;7005983088;6701796741;7005743246;57192324296;57202559649;7006441194;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085530102&doi=10.1038%2fs41420-020-0275-2&partnerID=40&md5=5d946ce35b82f2c717317313db442a1b
"55195948500;57190297632;57205629820;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086237812&doi=10.1186%2fs13570-020-00173-2&partnerID=40&md5=abc14831e80fe887912e179c802eed74
"57217098719;57216735977;57216745460;36085111800;57217121655;57217116270;57217118112;57217120735;57217118022;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086338401&doi=10.22516%2f25007440.536&partnerID=40&md5=1847b58f3a252c2a690378b4c9bee892
"56719563600;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085392753&doi=10.1016%2fj.ribaf.2020.101249&partnerID=40&md5=cbfb3d466660d5c3450d60077f70ccb4
"56644977900;57212393524;57212385935;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085509165&doi=10.29333%2fejgm%2f8244&partnerID=40&md5=f3852d8c175ce5b976b26e25bc1859e3
"57190212370;16426262100;55220439500;8277217000;7004909863;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085525629&doi=10.1186%2fs40634-020-00255-5&partnerID=40&md5=62733f14332540b16072ef0a64729cca
"57195138853;57217116130;6505458411;24377036000;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086325614&doi=10.22516%2f25007440.532&partnerID=40&md5=7b2136a046a88b3f607bfeef2c89b8b5
"57216677399;57216676842;"	2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084272328&doi=10.1080%2f22221751.2020.1760146&partnerID=40&md5=ffd3c89c42d4917f99dcaa917e56d97b
