Year	Link	EID
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079799485&doi=10.1038%2fs41421-020-0148-0&partnerID=40&md5=0725368d73311c24c1244cd58bb3861a	2-s2.0-85079799485
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086442993&doi=10.1016%2fj.mehy.2020.109876&partnerID=40&md5=0526f3f8bb3b96300ff3f0a68d37e0a4	2-s2.0-85086442993
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086086732&doi=10.1016%2fj.mehy.2020.109957&partnerID=40&md5=545e96e281937e19d46f66a64f963ac9	2-s2.0-85086086732
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085689711&doi=10.1016%2fj.mehy.2020.109899&partnerID=40&md5=8acc8f6d1ea31f2d946f22c3e5179404	2-s2.0-85085689711
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086465863&doi=10.1016%2fj.mehy.2020.109865&partnerID=40&md5=33ca9296b18f6a955b8028735114ffd4	2-s2.0-85086465863
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086084585&doi=10.1016%2fj.mehy.2020.109954&partnerID=40&md5=b0f7c709c4d12e87bf95c1be260f83f8	2-s2.0-85086084585
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085765074&doi=10.1016%2fj.mehy.2020.109910&partnerID=40&md5=21db38d2fff472f16362a79721eae628	2-s2.0-85085765074
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085743337&doi=10.1016%2fj.mehy.2020.109947&partnerID=40&md5=868a83dd94fa0f0ad0824ef97df888a5	2-s2.0-85085743337
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086443905&doi=10.1016%2fj.mehy.2020.109986&partnerID=40&md5=8c8dc2fa0561c6000056502c81e7de63	2-s2.0-85086443905
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085842588&doi=10.1016%2fj.clinimag.2020.05.032&partnerID=40&md5=a095544b341b667682b0523bbc83fbce	2-s2.0-85085842588
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085964919&doi=10.1016%2fj.mehy.2020.109948&partnerID=40&md5=c515bfee8bcb89b7e091b3230638e29d	2-s2.0-85085964919
2020	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086177032&doi=10.1016%2fj.mehy.2020.109920&partnerID=40&md5=2227a093c335149b514ba6244ca7acdb	2-s2.0-85086177032
